,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,Month,Year
0,C2FO,20,2,2022-12-09,payments,ks,Kansas City Business Journal,Private,12,2022
1,VideoAmp,0,2,2022-09-19,platforms,losangeles,Company memo,Private,9,2022
2,Amperity,13,3,2022-08-20,analytics,seattle,Geekwire,Private,8,2022
3,Addepar,20,3,2023-01-18,analytics,ca,Fortune,Private,1,2023
4,Thirty Madison,24,3,2022-05-13,care,newyork,Axios,Private,5,2022
5,NextRoll,0,3,2022-07-08,tech,sanfrancisco,Business Insider,Private,7,2022
6,Armis Security,25,4,2022-12-08,cybersecurity,sanfrancisco,Calcalistech,Private,12,2022
7,Foxtrot,26,4,2022-09-23,ecommerce,chicago,Chicago Business,Private,9,2022
8,Headspace Health,50,4,2022-12-14,wellness,losangeles,Bloomberg,Private,12,2022
9,RealSelf,11,5,2022-07-21,tech,seattle,GeekWire,Private,7,2022
10,New Relic,110,5,2022-08-18,software,ca,MarketWatch,Private,8,2022
11,Abra,12,5,2022-06-30,crypto,mountainview,The Block,Private,6,2022
12,Clarify Health,15,5,2022-07-22,care,sanfrancisco,Axios,Private,7,2022
13,Argo AI,150,5,2022-07-07,transportation,pittsburgh,TechCrunch,Private,7,2022
14,Snyk,220,5,2022-10-24,cybersecurity,boston,Globes,Private,10,2022
15,JOKR,50,5,2022-06-16,ecommerce,newyork,TechCrunch,Private,6,2022
16,Project44,63,5,2022-07-15,logistics,chicago,FreightWaves,Private,7,2022
17,Reef,750,5,2022-05-06,ecommerce,miami,The Information,Private,5,2022
18,Outreach,0,5,2022-08-02,tech,seattle,LinkedIn,Private,8,2022
19,Boosted Commerce,0,5,2022-07-25,ecommerce,losangeles,Business Insider,Private,7,2022
20,Forward,0,5,2022-07-11,care,sanfrancisco,Fierce Healthcare,Private,7,2022
21,CoinDCX,100,6,2023-01-11,cryptocurrency,india,Biometric Update,Private,1,2023
22,Food52,20,6,2022-04-08,ecommerce,newyork,Digiday,Private,4,2022
23,Motive,237,6,2022-12-07,productivity,sanfrancisco,Motive,Private,12,2022
24,Canoo,58,6,2022-07-01,transportation,california,Business Insider,Private,7,2022
25,Wonder,130,7,2022-11-30,ecommerce,newyork,The Information,Private,11,2022
26,Argyle,20,7,2022-08-26,insurtech,newyork,TechCrunch,Private,8,2022
27,Kabam,35,7,2022-11-09,games,sanfrancisco,TechCrunch,Private,11,2022
28,Upstart,60,7,2022-11-01,fintech,ca,TechCrunch,Private,11,2022
